,LocRfc_A,LocRfc_D,amc_A,amc_D,avg_cc_A,avg_cc_D,ca_A,ca_D,cam_A,cam_D,cbm_A,cbm_D,cbo_A,cbo_D,ce_A,ce_D,dam_A,dam_D,dit_A,dit_D,ic_A,ic_D,lcom3_A,lcom3_D,lcom_A,lcom_D,loc_A,loc_D,max_cc_A,max_cc_D,mfa_A,mfa_D,moa_A,moa_D,noc_A,noc_D,npm_A,npm_D,rfc_A,rfc_D,wmc_A,wmc_D
ant-1.7,0.187472036,0.81935123,0.316442953,0.689261745,0.328076063,0.678187919,0.462751678,0.552684564,0.776733781,0.230313199,0.383892617,0.619127517,0.222371365,0.784563758,0.202237136,0.806152125,0.445525727,0.57606264,0.452684564,0.569127517,0.375950783,0.639932886,0.490380313,0.516331096,0.223713647,0.782885906,0.190268456,0.816107383,0.256263982,0.751230425,0.535794183,0.453020134,0.339709172,0.700671141,0.529082774,0.576957494,0.257158837,0.756823266,0.180425056,0.826845638,0.209955257,0.803914989
ant-1.7,0.176286353,0.830604027,0.266845638,0.74049217,0.251454139,0.75409396,0.3901566,0.62541387,0.776196868,0.232393736,0.501744966,0.538702461,0.29082774,0.712662192,0.283579418,0.721073826,0.496107383,0.53950783,0.514272931,0.502281879,0.50738255,0.534765101,0.487427293,0.520447427,0.245369128,0.7649217,0.177360179,0.829888143,0.223982103,0.774944072,0.611901566,0.399552573,0.302818792,0.720536913,0.432483221,0.599105145,0.266129754,0.742102908,0.183534676,0.82344519,0.232214765,0.775659955
ant-1.7,0.217797585,0.788384129,0.268976423,0.737780334,0.320442783,0.689476711,0.462765957,0.525589419,0.737492812,0.269838988,0.393041978,0.646923519,0.260494537,0.7426682,0.240511788,0.760063255,0.386141461,0.607101783,0.394479586,0.636141461,0.384560092,0.644335825,0.50546291,0.503018976,0.271851639,0.752443933,0.219091432,0.787952846,0.277458309,0.730879816,0.477142036,0.556497987,0.302185164,0.671219091,0.441776883,0.510494537,0.309660725,0.699108683,0.216791259,0.790253019,0.251150086,0.754887867
ant-1.7,0.159803922,0.847352941,0.29745098,0.709215686,0.354803922,0.655098039,0.33745098,0.68372549,0.798921569,0.209019608,0.478431373,0.53245098,0.224411765,0.790196078,0.253333333,0.75627451,0.475784314,0.555392157,0.570392157,0.446568627,0.46754902,0.545098039,0.5,0.508039216,0.199705882,0.813627451,0.161568627,0.845294118,0.270686275,0.740784314,0.617254902,0.390980392,0.340686275,0.724117647,0.514705882,0.595686275,0.248039216,0.767058824,0.15,0.856078431,0.208823529,0.804411765
ant-1.7,0.185275575,0.821639211,0.233475697,0.773235713,0.323367907,0.686292455,0.399633923,0.581757169,0.756457189,0.252898109,0.409904413,0.5755542,0.278218426,0.729916616,0.267134432,0.740288794,0.412039862,0.52725239,0.425767745,0.548911938,0.420581655,0.536709376,0.431360586,0.574944072,0.234594265,0.776794794,0.184563758,0.822351027,0.266524303,0.732458816,0.545251169,0.463290624,0.305674192,0.673073012,0.39210901,0.594671548,0.243746187,0.761439902,0.202359162,0.803945495,0.252389668,0.756253813
ant-1.7,0.179920934,0.82697435,0.282430817,0.724280592,0.325917073,0.682265331,0.480923049,0.537372437,0.781281603,0.224050749,0.52707548,0.558242162,0.290337409,0.718764365,0.226533051,0.777144433,0.459777512,0.561092213,0.486163464,0.557598603,0.518341454,0.561092213,0.440562655,0.566516503,0.228463731,0.784131654,0.180104808,0.826606601,0.268272502,0.747448745,0.574331157,0.452330606,0.386411694,0.625632068,0.531212651,0.562195458,0.288590604,0.724096718,0.174220833,0.833777696,0.225981429,0.778983176
ant-1.7,0.192597112,0.814114297,0.273439089,0.733374009,0.266117551,0.744254627,0.447732357,0.567012406,0.776896482,0.231340248,0.441224324,0.585621314,0.278116738,0.724730527,0.275269473,0.739068538,0.446003661,0.567012406,0.495830791,0.522269677,0.435733171,0.586028066,0.50823673,0.50203376,0.207443563,0.802013423,0.192393736,0.814419361,0.236933089,0.774659345,0.563758389,0.451799878,0.287166972,0.744966443,0.501220256,0.520846044,0.263677039,0.742220866,0.198698393,0.80679276,0.203782794,0.803131991
ant-1.7,0.16975052,0.837525988,0.264553015,0.740644491,0.272557173,0.729106029,0.372245322,0.624740125,0.776819127,0.230561331,0.363513514,0.669022869,0.199272349,0.805613306,0.185343035,0.819334719,0.36985447,0.652910603,0.409147609,0.603118503,0.342099792,0.686070686,0.576715177,0.425675676,0.264241164,0.746673597,0.171309771,0.835862786,0.243243243,0.767567568,0.534719335,0.477338877,0.264137214,0.713513514,0.444594595,0.556444906,0.253430353,0.757692308,0.15966736,0.846777547,0.192619543,0.80997921
ant-1.7,0.249312169,0.757354497,0.354603175,0.651322751,0.350582011,0.655343915,0.36,0.648042328,0.711534392,0.297883598,0.386031746,0.600846561,0.29037037,0.714708995,0.325714286,0.681587302,0.441164021,0.529312169,0.515661376,0.464021164,0.394285714,0.571640212,0.536613757,0.475132275,0.285608466,0.726984127,0.248465608,0.756613757,0.313756614,0.675767196,0.594920635,0.402645503,0.421693122,0.584444444,0.414920635,0.573227513,0.327724868,0.678306878,0.253333333,0.750687831,0.286243386,0.714708995
ant-1.7,0.168377418,0.838333991,0.248420845,0.75809317,0.308724832,0.702921437,0.44966443,0.54895381,0.759672325,0.250394789,0.339024872,0.73450454,0.297473352,0.711508093,0.241018555,0.77289775,0.433971575,0.620114489,0.375049349,0.662949072,0.311389657,0.76371891,0.491709435,0.514015002,0.190781682,0.809711804,0.170351362,0.836557442,0.265396763,0.751875247,0.499605211,0.51618634,0.305763916,0.708645874,0.417094355,0.598795894,0.260363206,0.757500987,0.161863403,0.846032373,0.191768654,0.816620608
