,LocRfc_A,LocRfc_D,amc_A,amc_D,avg_cc_A,avg_cc_D,ca_A,ca_D,cam_A,cam_D,cbm_A,cbm_D,cbo_A,cbo_D,ce_A,ce_D,dam_A,dam_D,dit_A,dit_D,ic_A,ic_D,lcom3_A,lcom3_D,lcom_A,lcom_D,loc_A,loc_D,max_cc_A,max_cc_D,mfa_A,mfa_D,moa_A,moa_D,noc_A,noc_D,npm_A,npm_D,rfc_A,rfc_D,wmc_A,wmc_D
ant-1.7,-0.207964206,0.207964206,-0.11212528,0.11212528,-0.089753915,0.089753915,-0.111230425,0.111230425,0.162147651,-0.162147651,-0.074362416,0.074362416,-0.159910515,0.159910515,-0.122237136,0.122237136,-0.051812081,0.051812081,0.009753915,-0.009753915,-0.066666667,0.066666667,0.039552573,-0.039552573,-0.173691275,0.173691275,-0.207248322,0.207248322,-0.117136465,0.117136465,0.075615213,-0.075615213,-0.08295302,0.08295302,-0.04689038,0.04689038,-0.15114094,0.15114094,-0.199910515,0.199910515,-0.180044743,0.180044743
ant-1.7,-0.242880464,0.242880464,-0.171050245,0.171050245,-0.138672229,0.138672229,-0.026210775,0.026210775,0.164157446,-0.164157446,-0.127063305,0.127063305,-0.146199891,0.146199891,-0.194812262,0.194812262,-0.072011609,0.072011609,-0.09432251,0.09432251,-0.139669871,0.139669871,0.01133684,-0.01133684,-0.219571921,0.219571921,-0.240250317,0.240250317,-0.163794667,0.163794667,-0.021041175,0.021041175,-0.133865409,0.133865409,-0.074732451,0.074732451,-0.175131507,0.175131507,-0.255940504,0.255940504,-0.219481226,0.219481226
ant-1.7,-0.287230183,0.287230183,-0.17114094,0.17114094,-0.164792309,0.164792309,-0.068111736,0.068111736,0.257119536,-0.257119536,-0.027208416,0.027208416,-0.213041901,0.213041901,-0.23934337,0.23934337,-0.083711228,0.083711228,-0.009976419,0.009976419,-0.020406312,0.020406312,0.002448757,-0.002448757,-0.232178487,0.232178487,-0.286232541,0.286232541,-0.220750952,0.220750952,0.061128242,-0.061128242,-0.177398875,0.177398875,-0.044531108,0.044531108,-0.228913477,0.228913477,-0.288046436,0.288046436,-0.263377471,0.263377471
ant-1.7,-0.231180845,0.231180845,-0.196354072,0.196354072,-0.173861781,0.173861781,-0.05033557,0.05033557,0.195991293,-0.195991293,-0.058860874,0.058860874,-0.20342826,0.20342826,-0.212316343,0.212316343,-0.078541629,0.078541629,-0.063214221,0.063214221,-0.052602939,0.052602939,-0.001995284,0.001995284,-0.179938328,0.179938328,-0.22972973,0.22972973,-0.20016325,0.20016325,-0.007527662,0.007527662,-0.186196263,0.186196263,-0.004625431,0.004625431,-0.144930165,0.144930165,-0.238889897,0.238889897,-0.189098494,0.189098494
ant-1.7,-0.266409266,0.266409266,-0.204449347,0.204449347,-0.177146534,0.177146534,-0.022614451,0.022614451,0.200772201,-0.200772201,0.00137893,-0.00137893,-0.138812282,0.138812282,-0.137433352,0.137433352,-0.034657106,0.034657106,0.042471042,-0.042471042,0.00275786,-0.00275786,-0.023074095,0.023074095,-0.205276705,0.205276705,-0.268615554,0.268615554,-0.222651223,0.222651223,0.064166207,-0.064166207,-0.12585034,0.12585034,0.0137893,-0.0137893,-0.210240853,0.210240853,-0.253447325,0.253447325,-0.221364221,0.221364221
ant-1.6,-0.298189135,0.298189135,-0.237022133,0.237022133,-0.106237425,0.106237425,-0.022937626,0.022937626,0.286921529,-0.286921529,-0.068410463,0.068410463,-0.204426559,0.204426559,-0.284507042,0.284507042,-0.026961771,0.026961771,-0.024547284,0.024547284,-0.095774648,0.095774648,-0.060362173,0.060362173,-0.310663984,0.310663984,-0.298591549,0.298591549,-0.160160966,0.160160966,0.072837022,-0.072837022,-0.170623742,0.170623742,0.017706237,-0.017706237,-0.252313883,0.252313883,-0.331991952,0.331991952,-0.297384306,0.297384306
ant-1.6,-0.29778672,0.29778672,-0.240241449,0.240241449,-0.190342052,0.190342052,-0.111066398,0.111066398,0.263179074,-0.263179074,0.053923541,-0.053923541,-0.278873239,0.278873239,-0.249496982,0.249496982,-0.090945674,0.090945674,0.026559356,-0.026559356,0.063179074,-0.063179074,-0.008450704,0.008450704,-0.237022133,0.237022133,-0.296579477,0.296579477,-0.209255533,0.209255533,0.110261569,-0.110261569,-0.109859155,0.109859155,-0.018511066,0.018511066,-0.246277666,0.246277666,-0.319114688,0.319114688,-0.255130785,0.255130785
ant-1.6,-0.219047619,0.219047619,-0.188819876,0.188819876,-0.173498965,0.173498965,-0.008281573,0.008281573,0.117184265,-0.117184265,-0.029813665,0.029813665,-0.040993789,0.040993789,-0.070807453,0.070807453,-0.016563147,0.016563147,0.083643892,-0.083643892,-0.044720497,0.044720497,-0.057971014,0.057971014,-0.119668737,0.119668737,-0.220703934,0.220703934,-0.205797101,0.205797101,0.067908903,-0.067908903,-0.094824017,0.094824017,0.004140787,-0.004140787,-0.048447205,0.048447205,-0.204554865,0.204554865,-0.091925466,0.091925466
ant-1.6,-0.282815735,0.282815735,-0.09068323,0.09068323,-0.196687371,0.196687371,-0.183022774,0.183022774,0.292753623,-0.292753623,-0.038509317,0.038509317,-0.258385093,0.258385093,-0.229813665,0.229813665,-0.10310559,0.10310559,0.035196687,-0.035196687,-0.032298137,0.032298137,0.023602484,-0.023602484,-0.31552795,0.31552795,-0.284886128,0.284886128,-0.223188406,0.223188406,0.123809524,-0.123809524,-0.138302277,0.138302277,-0.114285714,0.114285714,-0.274534161,0.274534161,-0.27494824,0.27494824,-0.306418219,0.306418219
ant-1.6,-0.325234442,0.325234442,-0.212702472,0.212702472,-0.08056266,0.08056266,0.029411765,-0.029411765,0.256606991,-0.256606991,-0.193947144,0.193947144,-0.210144928,0.210144928,-0.296248934,0.296248934,-0.088661552,0.088661552,-0.08397272,0.08397272,-0.189684569,0.189684569,0.006820119,-0.006820119,-0.178601876,0.178601876,-0.324381927,0.324381927,-0.121909633,0.121909633,-0.010656436,0.010656436,-0.155157715,0.155157715,0.003836317,-0.003836317,-0.283034953,0.283034953,-0.326513214,0.326513214,-0.274509804,0.274509804
