,k<>ant-1.7,m<>ant-1.7,r<>ant-1.7,k<>ant-1.6,m<>ant-1.6,r<>ant-1.6,k<>ant-1.5,m<>ant-1.5,r<>ant-1.5,k<>camel-1.6,m<>camel-1.6,r<>camel-1.6,k<>camel-1.4,m<>camel-1.4,r<>camel-1.4,k<>camel-1.2,m<>camel-1.2,r<>camel-1.2,k<>ivy-2.0,m<>ivy-2.0,r<>ivy-2.0,k<>jedit-4.2,m<>jedit-4.2,r<>jedit-4.2,k<>jedit-4.1,m<>jedit-4.1,r<>jedit-4.1,k<>jedit-4.0,m<>jedit-4.0,r<>jedit-4.0,k<>synapse-1.1,m<>synapse-1.1,r<>synapse-1.1,k<>synapse-1.2,m<>synapse-1.2,r<>synapse-1.2,k<>xalan-2.5,m<>xalan-2.5,r<>xalan-2.5,k<>xalan-2.6,m<>xalan-2.6,r<>xalan-2.6,k<>xerces-1.3,m<>xerces-1.3,r<>xerces-1.3
BRR,19,1,4.750265027,15,2,3.441464,20,0,1.903667823,3,4,4.483646715,8,2,4.372294993,15,2,1.748379345,14,2,4.807187378,11,0,2.277483701,12,4,4.590117015,12,5,3.185543272,19,4,0.766434094,3,5,3.051542271,12,1,1.157194413,14,4,2.831999286,7,5,0.929209925
BRR,18,4,3.804377801,17,5,4.729133409,4,2,3.244052894,6,4,2.458851136,5,4,0.317808097,5,6,3.800489797,1,4,1.959297673,4,0,0.461267482,14,3,1.377270252,18,1,1.590426153,17,6,4.344323658,18,4,4.907393071,12,5,2.259850796,18,6,4.603238938,6,2,3.679591835
BRR,2,2,1.799632742,19,3,2.468555251,1,3,0.836595786,14,5,4.704279328,2,6,4.410630393,14,0,2.876302968,16,0,3.286479556,8,5,4.11244493,12,2,0.103928814,18,2,1.307890966,11,6,4.458090194,11,4,3.068492069,4,1,4.834640585,10,4,2.7910565,13,5,3.959314955
BRR,13,5,0.219153877,6,4,4.001029807,1,1,4.673955105,16,4,0.148894303,18,4,4.84791017,6,6,1.150130796,12,2,4.622952699,14,2,0.737697613,17,0,0.306464476,17,5,2.015049873,10,0,4.203544388,4,6,1.455190867,6,0,0.479688767,8,4,3.76961047,6,1,0.952031671
BRR,17,3,4.697661491,20,0,1.030205099,6,1,2.327422782,17,5,0.933340431,10,6,4.343019965,20,4,4.486695312,18,3,4.37366376,4,1,2.718063971,4,3,0.689240723,3,4,0.404881985,9,6,2.695232971,5,4,0.534753501,14,2,3.018085722,4,1,1.231439107,1,4,2.731218017
BRR,11,1,3.490573557,18,2,4.752159219,1,3,3.998088253,5,4,0.581875507,7,2,3.391031702,9,4,2.910019527,19,1,1.535074506,14,6,2.372094855,7,0,2.573295834,12,4,0.476261986,17,6,1.153785096,3,1,3.812794901,3,4,1.48208531,6,3,4.337090392,13,5,4.078688861
BRR,6,3,1.229957676,12,0,2.562426754,8,6,3.419579322,20,6,1.719463049,17,3,4.10354153,9,2,4.725787894,16,3,1.056764767,4,3,1.417658571,18,2,1.2177285,1,2,2.566550811,18,6,0.52036551,20,1,0.179828457,3,2,4.178590727,14,4,1.104058615,5,3,0.700436779
BRR,19,4,2.061095073,20,0,4.903180461,16,2,0.463340992,16,4,0.21262381,6,3,1.94952875,15,1,3.330905587,10,0,2.11034381,20,1,3.718625892,10,0,1.134392504,7,1,1.484849042,16,2,3.620934968,1,0,0.743654052,20,0,2.709862717,5,5,4.627071559,12,4,3.150207017
BRR,5,5,3.608851667,11,3,3.602581841,16,1,2.393617484,2,5,3.560335579,11,5,4.816786311,20,3,2.281544424,7,0,3.300449361,14,0,4.795067307,4,5,2.248030831,8,3,1.833334314,4,4,1.298198444,16,3,0.486782281,1,2,1.794123706,6,3,1.36273057,9,4,4.406764586
BRR,15,1,2.083473802,8,0,0.267663356,7,2,2.996549967,10,5,4.166157663,15,2,0.959607649,20,1,0.553189823,11,0,3.225230075,19,5,3.027624683,10,0,4.74494774,3,1,2.036930448,12,4,2.943390088,14,0,0.734070947,11,2,2.201031476,17,3,1.762594287,20,0,4.891150511
BRR,6,3,0.893152824,10,6,3.319120422,11,1,4.043544246,17,4,2.853909206,13,4,0.108753884,6,3,4.49566916,11,1,2.83817512,11,0,3.416492438,13,6,2.826717928,7,6,1.26511973,7,1,0.226613176,4,1,0.979874237,17,3,2.219064304,20,5,4.982368569,14,6,3.674782162
BRR,20,4,0.315934735,3,0,0.759875982,10,2,1.227762712,7,6,2.598674537,7,0,1.299942785,6,3,4.190088719,11,0,3.609153426,16,2,1.068285647,11,3,4.010963933,10,2,2.565181123,16,3,2.360342822,8,2,2.148633717,7,1,4.025956976,15,2,3.573835384,8,1,2.691705569
BRR,13,2,2.771472016,11,5,0.141401087,11,1,1.507988302,6,6,4.415484854,18,6,0.331123553,2,1,0.756416281,16,2,2.856456348,7,1,1.33140634,18,4,4.853794591,18,4,4.747829974,15,4,2.522449946,16,2,4.008361606,9,1,1.404221542,7,4,3.320340133,2,3,2.83510265
BRR,20,5,3.80864633,4,1,1.988804123,14,2,1.964757754,16,3,1.226139467,14,5,2.726134953,12,2,3.51931128,8,0,1.323678051,8,1,0.422856457,13,2,3.71211125,6,4,0.111705699,7,6,4.653832634,7,6,2.66889603,3,4,0.183379468,14,6,0.581738617,11,3,3.425468598
