,k<>ant-1.7,m<>ant-1.7,r<>ant-1.7,k<>ant-1.6,m<>ant-1.6,r<>ant-1.6,k<>ant-1.5,m<>ant-1.5,r<>ant-1.5,k<>camel-1.6,m<>camel-1.6,r<>camel-1.6,k<>camel-1.4,m<>camel-1.4,r<>camel-1.4,k<>camel-1.2,m<>camel-1.2,r<>camel-1.2,k<>ivy-2.0,m<>ivy-2.0,r<>ivy-2.0,k<>jedit-4.2,m<>jedit-4.2,r<>jedit-4.2,k<>jedit-4.1,m<>jedit-4.1,r<>jedit-4.1,k<>jedit-4.0,m<>jedit-4.0,r<>jedit-4.0,k<>synapse-1.1,m<>synapse-1.1,r<>synapse-1.1,k<>synapse-1.2,m<>synapse-1.2,r<>synapse-1.2,k<>xalan-2.5,m<>xalan-2.5,r<>xalan-2.5,k<>xalan-2.6,m<>xalan-2.6,r<>xalan-2.6,k<>xerces-1.3,m<>xerces-1.3,r<>xerces-1.3
DTR,14,5,3.40462655,19,5,3.709972345,18,0,1.019156121,14,2,3.02281192,8,6,4.231373011,11,4,1.928905363,7,1,2.697116461,13,6,0.729288049,19,0,4.805556012,8,1,1.524351729,19,3,1.683778157,11,3,4.971904597,17,1,0.574193613,13,3,3.237801696,5,5,0.696676023
DTR,10,1,3.507202121,5,3,1.985116798,18,2,1.27622621,17,3,3.366780557,12,3,0.734626808,8,4,3.730095644,16,3,3.108599653,9,3,2.739010342,15,3,2.743988382,16,5,0.687726546,14,2,2.998352968,10,2,1.287363222,8,6,3.164965245,3,0,1.874686441,19,0,0.364347968
DTR,2,5,2.773520326,3,5,1.204744262,10,0,2.162485476,11,2,4.696047785,11,2,2.289578145,3,6,2.568064938,11,3,4.310062,14,2,1.734993383,15,1,4.802349051,1,0,2.314787722,20,6,0.726033308,13,4,1.777542787,1,4,0.810817972,14,2,0.887371388,18,1,4.655769264
DTR,14,3,0.711713491,17,6,2.078132954,18,1,2.902763075,19,6,0.518414592,17,4,3.44077338,2,3,3.952296952,6,4,3.912216446,20,1,3.459446312,13,6,3.164240684,18,2,4.656731369,17,5,1.683619227,17,1,4.072501489,9,6,0.997337334,1,6,0.667579378,19,1,0.738296683
DTR,7,6,2.719445351,15,0,0.207496832,7,0,2.012022458,3,4,0.833648007,14,3,4.583772837,6,6,4.234670196,13,6,2.435523572,8,5,1.752384449,20,6,3.166063942,4,3,3.613558533,9,2,0.889195745,11,0,1.845438871,6,5,1.957294073,11,2,4.163903487,19,3,2.602029342
DTR,18,0,2.215368576,15,6,1.389893324,8,0,4.109214746,17,6,3.737529625,5,3,1.204000888,4,2,4.327419267,8,4,1.479251209,12,3,3.871935627,1,2,0.210315455,3,2,0.201517982,7,5,2.143175605,7,2,3.247636034,20,0,0.352714697,15,3,2.598646512,16,5,2.019590358
DTR,11,5,2.111167127,10,1,1.377405369,15,0,2.659547037,17,3,2.358432592,14,0,0.21839875,1,4,4.228904633,14,3,2.418772203,19,4,2.734193802,8,3,3.043494742,20,5,1.807103147,7,2,4.431656936,11,5,2.029930529,3,5,4.825822922,14,1,4.341782547,13,6,1.582752203
DTR,14,1,3.923277732,3,5,1.340947911,4,5,4.248620373,8,2,2.337827825,12,5,4.671213791,20,2,2.421978211,20,2,3.715625232,9,6,0.110933618,1,1,4.938700263,14,4,2.428876813,18,2,2.34306579,1,5,4.607136569,19,5,1.603758898,19,3,2.837582812,14,4,0.31632537
DTR,16,3,3.520141195,8,6,1.30232021,20,3,3.689707592,11,0,4.723248099,3,3,2.547261872,13,3,3.455868592,13,4,1.282913671,8,5,4.309683544,3,5,1.388922467,10,1,1.057902983,4,3,3.010393882,11,2,4.193120187,8,0,0.30993397,3,4,2.775000655,10,5,2.494349178
DTR,12,4,3.82957387,20,6,3.577211843,16,3,2.430471927,17,6,3.97872126,11,5,3.339916892,8,0,1.980452465,18,5,1.127891288,8,2,1.140117607,3,2,1.427386325,19,0,0.907506976,16,4,4.522045396,15,6,1.98016357,20,0,0.347740849,12,2,0.387990767,3,3,4.497569754
DTR,9,5,3.230044392,3,3,1.113113053,12,0,0.80198863,1,6,2.388277089,7,1,0.479347251,15,5,0.738326772,9,4,0.726088177,8,5,4.914056306,8,2,2.117751895,10,4,2.9503273,18,5,2.560025926,14,3,3.940263199,14,0,0.965350639,12,6,3.524799374,14,3,4.568246719
DTR,14,6,2.484258428,14,6,1.540520778,18,2,2.116297225,19,4,0.853713026,13,6,0.603438255,13,2,4.057203822,15,0,1.415090873,14,2,1.967120521,13,4,3.730296646,1,2,3.483050678,5,5,4.651455854,4,1,2.974071878,2,5,2.334831474,13,2,4.552898578,3,2,3.48496146
DTR,10,2,3.582141777,3,1,4.491363185,6,1,3.177828208,18,3,2.867305666,19,5,2.245219442,11,5,4.013346582,4,1,4.460844273,3,2,4.515590626,5,2,2.245229959,20,3,0.106910251,8,2,2.046737978,17,2,1.536766555,15,4,3.195806459,16,3,4.052906455,12,2,1.929401231
DTR,20,1,2.441245151,9,3,2.649769477,12,0,1.706993235,12,4,2.28705227,10,4,4.211861755,18,1,4.557567449,3,4,1.137366573,7,3,0.154030381,13,3,4.35043757,19,6,2.820650175,12,6,4.699672109,5,4,2.258317893,17,0,3.687305871,17,3,4.765703117,15,6,1.252577432
DTR,20,4,3.956869967,8,0,3.520329305,15,0,0.467381624,6,5,4.740767452,19,4,3.018586156,18,3,4.112557808,9,3,3.756148192,18,3,3.133133417,12,4,2.498194953,1,2,3.147335871,13,4,3.1756007,3,0,2.582792754,15,5,0.564126488,13,5,3.523809256,1,3,4.237545908
NNR,14,6,0.159919655,13,0,2.015333194,8,6,4.68554443,13,3,2.547002054,10,2,0.394217406,12,6,1.857682548,9,2,4.199547739,16,6,3.911036642,8,1,3.737383641,13,6,1.790909309,18,6,3.958239619,8,4,1.606516363,15,2,2.030514881,2,0,1.969469301,5,5,1.218927913
NNR,14,2,4.82514986,11,1,3.138563518,2,6,3.3475099,19,6,3.282215475,17,6,4.950356902,17,5,2.599345676,9,5,4.354151326,16,3,1.628348352,13,6,3.059941934,13,6,4.183906929,10,1,2.091659897,15,5,3.953814453,7,6,4.930207497,18,2,3.103581948,12,6,3.843602673
NNR,10,6,3.892455074,14,4,3.493662526,5,4,4.423460454,12,5,0.724282162,15,6,4.542346253,16,4,1.728134483,5,5,4.44158361,15,5,2.324438672,4,2,4.784659541,7,1,1.497119786,18,4,0.213926979,7,3,4.041463916,19,5,4.237183332,4,1,2.214619912,11,4,4.519561214
NNR,8,3,1.497194707,16,4,1.264458147,20,3,0.473951718,12,3,0.990765016,3,4,1.14059039,16,3,3.487233244,16,4,2.217057734,8,6,2.104656863,3,6,3.848786833,12,3,3.197923588,13,3,0.499474217,11,0,0.323968,18,6,4.661431594,20,0,2.545775209,5,5,1.804261286
NNR,14,6,2.470779989,3,6,0.101772613,5,0,4.400779292,13,3,1.074721187,11,4,0.287063472,7,4,4.273070948,20,2,0.541547811,20,2,2.102582931,7,0,2.072220089,9,4,2.907635093,19,6,3.26595956,10,2,0.978345369,6,1,2.090188677,20,4,4.377067207,13,1,1.217023984
NNR,17,3,1.542639873,10,4,0.529686169,19,5,1.001464995,20,6,2.05956963,9,3,4.360184018,19,2,3.333445703,10,6,1.537473902,17,5,1.598869878,20,2,1.814261027,14,2,3.361693113,12,1,2.464672247,1,2,4.187235788,7,0,3.551241346,20,1,1.756101743,18,3,2.033014134
